Number,FieldState,MotifSum,Entropy,HilbertMag,CompositeScore,EnhancedCompositeScore,RhythmicCompositeScore,UnionPrediction,InferredFieldState,UMAP_X,UMAP_Y,PrimeStatus,PrimeType,Type,BoundaryTransitionIndex,TransitionFlag
201073,Mid,52,0.0769230769230769,28.0,0.6204303378214602,0.7728842595386571,0.8172346409272246,1,Unknown,4.2678585,2.5317948,True Prime,General,,-1.7545547268841117,False
241589,High,30,0.4666666666666667,22.0,0.6144818299935128,0.7728858600953384,0.8169082917833212,1,Unknown,2.9510138,6.909285,True Prime,General,,-1.7544296176518348,False
271573,Mid,26,0.8461538461538461,24.0,0.5883226155896798,0.7729323626670224,0.8152042062464813,1,Unknown,2.605219,0.22658832,True Prime,General,,-1.7507946941841137,False
230149,Mid,46,0.7391304347826086,40.0,0.7100385721630715,0.7729467848099252,0.8169570315549907,1,Unknown,2.063635,5.7565103,True Prime,General,,-1.7496673718921643,False
417133,Low,34,0.6470588235294118,28.0,0.6389572752127539,0.773002370645923,0.8183799648642232,1,Unknown,-0.7399393,6.744088,True Prime,General,,-1.7453224453123013,False
558563,Mid,42,0.0476190476190476,22.0,0.6194053874154081,0.7730796753236281,0.8179159297957305,1,Low,3.3975527,1.6117069,True Prime,General,,-1.739279842140489,False
436127,Low,50,0.2,30.0,0.6627122047399097,0.7731240241574635,0.8183018921687979,1,Unknown,6.7773705,6.2396226,True Prime,General,,-1.735813267905195,False
424573,High,18,0.5555555555555556,14.0,0.5744206398493225,0.773202008483227,0.8136672584160964,1,Unknown,-0.7537424,6.699997,True Prime,General,,-1.7297175393128355,False
522409,Mid,22,0.6363636363636364,18.0,0.5898319070901211,0.7732702179592177,0.8164309344407553,1,Unknown,7.8571615,7.681257,True Prime,General,,-1.7243858723528906,False
260137,Low,60,0.1333333333333333,34.0,0.6237443701739083,0.7732877388143793,0.8149464477312693,1,Unknown,2.448837,0.70703423,True Prime,General,,-1.723016335888664,False
471847,Mid,12,0.0,6.0,0.5933276772625734,0.7734063284201254,0.8131626997598491,1,Unknown,5.3489366,3.24968,True Prime,General,,-1.7137466519691584,False
366437,Mid,6,0.3333333333333333,4.0,0.6009809123351975,0.7734075087879372,0.8187040753778343,1,Low,-1.0493693,1.6646674,True Prime,General,,-1.7136543872512215,False
324647,Low,20,0.4,14.0,0.5418479921831103,0.7734158534558299,0.8138383343941791,1,Unknown,6.6716456,4.422863,True Prime,General,,-1.7130021173217305,False
530389,Mid,34,0.7647058823529411,30.0,0.6614044595979762,0.7735233101404131,0.818621320955158,1,Unknown,0.5612444,1.9914601,True Prime,General,,-1.7046026501436586,False
386017,Mid,42,0.0476190476190476,22.0,0.6138280715280966,0.7735434502423509,0.8187470432037667,1,Low,3.6383367,3.7315872,True Prime,General,,-1.703028377441629,False
208409,Mid,40,0.2,24.0,0.6241575926079603,0.7735473851016241,0.8161957983686153,1,Unknown,6.8550816,7.505469,True Prime,General,,-1.7027208049398002,False
483289,Low,36,0.5555555555555556,28.0,0.5753434539135284,0.7735529164399138,0.818754616161817,1,Unknown,5.8025875,6.482299,True Prime,General,,-1.7022884419407491,False
385901,Low,10,0.2,6.0,0.6013054333694818,0.7736114199862197,0.8181006061204238,1,Low,-0.88102263,1.8332927,True Prime,General,,-1.6977154494005098,False
223063,Mid,26,0.8461538461538461,24.0,0.5957324651330056,0.7736200512721197,0.8183482305545231,1,Low,4.048484,9.593485,True Prime,General,,-1.697040775666597,False
317003,Mid,20,0.2,12.0,0.5774164007435623,0.7736344411800424,0.8188198359539198,1,Unknown,-0.9076335,6.661863,True Prime,General,,-1.6959159730564954,False
405437,High,26,0.8461538461538461,24.0,0.6273481927505061,0.7736443686254493,0.8185647808253094,1,Low,1.9857706,2.4563837,True Prime,General,,-1.6951399836224246,False
230143,Low,12,0.0,6.0,0.6316082578589761,0.7736502194457162,0.8171489006294418,1,Unknown,4.972914,5.413781,True Prime,General,,-1.6946826479714359,False
506797,Mid,18,0.3333333333333333,12.0,0.5788193171895919,0.7736765185002314,0.8178684480964836,1,Unknown,0.47190154,2.1116848,True Prime,General,,-1.6926269541253827,False
278911,Low,8,0.5,6.0,0.602802325324717,0.773712546356137,0.8186193230098601,1,Low,6.8561425,1.0968337,True Prime,General,,-1.689810798068193,False
366461,Low,24,0.8333333333333334,22.0,0.6324887159398106,0.7737455754993092,0.818974528746932,1,Unknown,6.475995,3.4891388,True Prime,General,,-1.6872290396129481,False
286547,Mid,10,0.2,6.0,0.5952552043803623,0.7737780422797335,0.8190224338237868,1,Low,2.917892,6.4643135,True Prime,General,,-1.6846912388459816,False
498937,High,16,0.25,10.0,0.5335427179604855,0.7738444058294911,0.8176751283706429,1,Unknown,-1.0971766,6.1675177,True Prime,General,,-1.6795038606928996,False
397673,Low,44,0.3636363636363636,30.000000000000004,0.6362935474389056,0.7738469453981824,0.8153938129983114,1,Unknown,-0.11223334,2.2767215,True Prime,General,,-1.6793053525781918,False
